Japanese,English
あります,"exist, be (referring to inanimate things)"
います,"exist, be (referring to animate things)"
いろいろな,various
おとこ　の　ひと,Man
おんな　の　ひと,Woman
おとこ　の　こ,Boy
おんな　の　こ,Girl
いぬ,Dog
ねこ,Cat
パンダ,Panda
ぞう,Elephant
き,"Tree, wood"
もの,Thing
でんち,Battery
はこ,Box
スイッチ,Switch
れいぞこう,Refrigerator
テーブル,table
ベッド,bed
たな,shelf
ドア,door
まど,window
ポスト,"postbox, mailbox"
ビル,building
ATM,ATM
コンビニ,convenience store
こうえん,park
きっさてん,"cafe, coffee shop"
や,"~shop, ~store"
のりば,"a fixed place to catch taxis, trains, etc"
けん,prefecture
うえ,"on, above, over"
した,"under, below, beneath"
まえ,"front, before"
うしろ,"back, behind"
みぎ,right side
ひだり,left side
なか,"in, middle"
そと,outside
となり,"next, next door"
ちかく,"near, vicinity"
あいだ,"between, among"
や　/ 　など,"~, ~ and so on"
どうもすみません,Thank you
コーナー,"corner, section"
いちばん　した,the bottom
