Japanese,English
おきます,"get up, wake up"
ねます,"sleep, go to bed"
はたらきます,work
やすみます,"take a rest, take a holiday"
べんきょうします,study
おわります,finish
デパート,department store
ぎんこう,bank
ゆうびんきょく,post office
としょかん,library
びじゅつかん,art museum
いま,now
～じ,~o’clock
～ふん,minute
はん,half
なんじ,what time
なんぷん,what minute
ごぜん,"a.m., morning"
ごご,"p.m., evening"
あさ,morning
ひる,"day time, noon"
ばん,evening
よる,night
よなか,midnight
きょう,today
あした,tomorrow
あさって,day after tomorrow
きのう,yesterday
おととい,day before yesterday
けさ,this morning
こんばんは,"this evening, tonight"
やすみ,"rest, a holiday, a day off"
ひるやすみ/きゅけい,lunch time
まいあさ,every morning
まいばん,every evening
まいにち,every day
にちようび,Sunday
げちようび,Monday
かようび,Tuesday
すいようび,Wednesday
もくようび,Thursday
きんようび,Friday
どようび,Saturday
なんようび,what day
ばんごう,number
なんばん,what number
～から,~from
～まで,"~up to, until"
～と～,and (used to connect nouns)
そちら,your place
たいへんですね,"That’s tough isn’t it?
(used when expressing sympathy)"
えーと,"well, let me see"
おねがいします,lit. ask for a favour
かしこまりました,"Certainly (sir, madam)"
おといあわせのばんごう,the number being inquired about
どうもありがとうございました,Thank you very much
ニューヨーク,New York
ペキン,Beijing
バンコク,Bangkok
ロスアンゼルス,Los Angeles
