Japanese,English
ここ,"here, this place"
そこ,"there, that place near you"
あそこ,that place over there
どこ,"where, what place?"
こちら,"this way, this place(polite)"
そちら,"that place, that place near you (polite)"
あちら,"that way, that place over there (polite)"
どちら,"which way, where (polite)"
きょうしつ,classroom
しょくどう,"dinning hall, canteen"
じむしょ,office
かいぎしつ,"meeting hall, conference room, assembly hall"
うけつけ,reception desk
ロビー,lobby
へや,room
トイレ,"toilet, restroom"
おてあらい,"toilet, restroom"
かいだん,staircase
エレベーター,"elevator, lift"
エスカレーター,escalator
かいしゃ,company
うち/　いえ,"house, home"
でんわ,telephone
くつ,shoes
ワイン,wine
たばこ,"tobacco, cigarette"
うりば,"department, counter (in department store)"
ちか,basement
～かい,floor
なんがい,which floor
～えん,yen (Japanese money)
いくら,how much
ひゃく,hundred
セん,thousand
まん,ten thousand
すみません,Excuse me
じゃ,"well, then, in that case"
～をください,"Give me~, please"
くに/おくに,country
ネクタイ,necktie
