Japanese,English
できます,"be able to, can"
あらいます,wash
ひきます,"play(stringed instrument,piano etc.)"
うたいます,sing
あつめます,"collect, gather"
すてます,throw away
かえます,"exchange,change"
うんでんします,drive
よやくします,"reserve, book"
げんきん,cash
しゅみ,hobby
にっき,diary
おいのり を します,pray
かちょう,section head
ぶちょう,department head
しゃちょう,company president
どうぶつ,animal
うま,horse
とくに,especially
へえ,what! Really!
なかなか,not easily
ほんとうですか,really?
ぜひ,"by all means, really"
