English,Japanese
understand,わかります
have,あります
like,すき
dislike,きらい
good at,じょうず
poor at,へた
"dish (cooked food), cooking",りょうり
drinks,のみもの
sports,スポーツ
play sports,スポーツをします
baseball,やきゅう
play baseball,やきゅうをします
dance,ダンス
dance,ダンスをします
music,おんがく
song,うた
classical music,クラシック
jazz,ジャズ
concert,コンサート
karaoke,カラオケ
Kabuki (traditional Japanese musical drama),かぶき
"picture, drawing",え
"letter, character",じ
Chinese characters,かんじ
Hiragana script,ひらがな
Katakana script,かたかな
the Roman alphabet,ローマじ
small change,こまかいおかね
ticket,チケット
time,じかん
"something to do, errand",ようじ
promise,やくそく
someone else’s husband,ごじゅじん
my husband,おっと
my husband,じゅじん
someone else’s wife,おくさん
my wife,つま
my wife,かない
child,こども
"well, much",よく
"mostly, roughly",だいたい
"many, much",たくさん
"a little, a few",すこし
not at all(used with negatives),ぜんぜん
"early, quickly, fast",はやく
because~,~から
why,どうして
I’m sorry (to hear that)/That’s a pity,ざんねんです
I’m sorry,すみません
hello(used on phone),もしもし
oh,ああ
Won’t you join me (us)?,いっしょうにいかがですか。
~is a bit difficult (a euphemism used when declining an invitation),~はちょっと
So you cannot (come)?,だめですか
"please ask me again some other time(used when refusing an invitation indirectly, considering someone’s feelings)",またこんどおねがいしいます
