Japanese,English
わたし,I
わたしたち,we
あなた,you
あのひと,"that person, he, she"
あのかた,"that person, he, she(more polite)"
みんなさん/　みなさん,"ladies and gentlemen, all of you everyone"
～さん,Mr./Ms. (title added to name for respect)
～ちゃん,suffix added to child or girls name
～くん,suffix added to boy name
～じん,suffix meaning a national of some country
せんせい,teacher
きょうし,teacher(referring to own self)
がくせい,student
かいしゃいん,company employee
しゃいん,employee of ~company(used with company name)
ぎんこういん,bank employee
いしゃ,medical doctor
けんきゅうしゃ,"researcher, scholar"
インジニア,engineer
だいがく,university
びょういん,hospital
でんき,"electricity, light"
だれ,who
どなた,who(polite)
～さい,~years old
なんさい,how old
おいくつ,How old (polite)
はい,Yes
いいえ,No
しつれいですが,"Excuse me, but"
おなまえは,May I have your name?
はじめまして,"How do you do?
said when you meet someone for first time"
どうぞよろしくおねぎいします,"Nice to meet you or please be kind to me
Usually said at the last of introduction"
こちらは　～さん　です。,This is Mr./ Ms.
～から　きました,I came from ~
アメリカ,U.S.A
イギリス,U.K.
インド,India
インドネシア,Indonesia
かんこく,South Korea
タイ,Thailand
ちゅうごく,China
ドイツ,Germany
にほん,Japan
フランス,France
ブラジル,Brazil
