English,Japanese
handsome,ハンサム
"beautiful, clean",きれい
quiet,しずか
"lively, crowded",にぎやか
famous,ゆうめい
kind,しんせつ
"healthy, sound, cheerful",げんき
free,ひま
convenient,べんり
"fine, nice, wonderful",すてき
"Big, large",おおきい
small,ちいさい
new,あたらしい
old(not of age),ふるい
good,いい
bad,わるい
hot(referring to temperature),あつい
"hot(referring to touch, as drink)",あつい
cold(referring to temperature),さむい
"cold(referring to touch, as drink)",つめたい
difficult,むずかしい
easy,やさしい
"expensive, tall, high",たかい
inexpensive,やすい
"short, low",ひくい
interesting,おもしろい
"delicious, tasty",おいしい
busy,いそがしい
enjoyable,たのしい
white,しろい
black,くろい
red,あかい
blue,あおい
cherry (blossom),さくら
mountain,やま
"town,city",まち
food,たべもの
"car, vehicle",くるま
place,ところ
"dormitory, hostel",りょう
study,べんきょう
life,せいかつ
"work, business",しごと
do one’s job or work,しごとをします
how,どう
what kind of~,どんな~
which one (of three or more),どれ
very,とても
not so (used with negatives),あまり
and (used to connect sentences),そして
"~,but~",~、が~
How are you?,おげんきですか。
"Well, let me see (pausing)",そうですね
Have you got used to the life in Japan?,にほんのせいかつになれましたか。
Won’t you have another cup of~?,~もいっぱいいかがですか。
"No, thank you",いいえ、けっこうです。
It’s already~(isn’t it?),もう~ですね
It’s almost time to leave now,そろそろしつれいします。
Please come again,またいらっしゃってください
